,Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
0,2007,1,1,0,0,0.0,0.0,0.0,18.9,18.9,68.5,,0.5,213.0,0
1,2007,1,1,1,0,0.0,0.0,0.0,18.1,18.1,65.0,,0.5,240.0,0
2,2007,1,1,2,0,0.0,0.0,0.0,17.7,17.7,79.1,,0.4,319.5,0
3,2007,1,1,3,0,0.0,0.0,0.0,16.5,16.5,81.8,,0.3,303.0,0
4,2007,1,1,4,0,0.0,0.0,0.0,15.4,15.4,85.1,,0.2,307.5,0
5,2007,1,1,5,0,0.0,0.0,0.0,14.4,14.4,86.4,,0.2,277.5,0
6,2007,1,1,6,0,17.5,1.483024665009482,17.260528759359925,13.5,13.5,92.9,,0.2,289.5,0
7,2007,1,1,7,0,243.3,281.509454621589,141.5464102954633,14.4,14.4,93.9,,0.3,252.0,0
8,2007,1,1,8,0,466.5,582.9248398869322,145.02039827228754,16.6,16.6,89.6,,0.4,255.0,0
9,2007,1,1,9,0,677.4,737.6088514376469,147.32437357246883,19.3,19.3,74.8,,0.8,262.5,0
10,2007,1,1,10,0,857.7,824.8685830679217,155.31663091867017,22.4,22.4,63.8,,1.3,259.5,0
11,2007,1,1,11,0,993.2,880.6603073934263,164.45678813234218,25.3,25.3,60.2,,1.7,252.0,0
12,2007,1,1,12,0,1069.2,918.6051095575209,167.90850272797462,27.3,27.3,45.4,,2.1,241.5,0
13,2007,1,1,13,0,1083.7,976.157758456648,137.71782085918213,28.8,28.8,44.1,,2.7,235.5,0
14,2007,1,1,14,0,1035.6,1039.0042137032337,94.60555758483184,30.1,30.1,43.2,,3.0,234.0,0
15,2007,1,1,15,0,930.0,1095.9733529045477,58.46802240951662,29.0,29.0,38.1,,3.1,229.5,0
16,2007,1,1,16,0,773.4,1148.7510940775405,32.1855465992846,28.4,28.4,36.2,,3.1,228.0,0
17,2007,1,1,17,0,578.1,1210.0527159037626,14.280346049727354,27.5,27.5,36.3,,3.0,229.5,0
18,2007,1,1,18,0,359.1,1318.6012581696089,3.666443842635162,25.9,25.9,38.3,,2.7,228.0,0
19,2007,1,1,19,0,140.9,1331.6191972378988,0.8674831700951577,24.3,24.3,42.6,,1.8,228.0,0
20,2007,1,1,20,0,0.0,0.0,0.0,22.4,22.4,46.5,,1.2,226.5,0
21,2007,1,1,21,0,0.0,0.0,0.0,20.9,20.9,54.5,,0.6,225.0,0
22,2007,1,1,22,0,0.0,0.0,0.0,19.7,19.7,60.0,,0.4,216.0,0
23,2007,1,1,23,0,0.0,0.0,0.0,18.9,18.9,63.2,,0.3,228.0,0
24,2007,1,2,0,0,0.0,0.0,0.0,18.2,18.2,60.8,,0.2,267.0,0
25,2007,1,2,1,0,0.0,0.0,0.0,17.5,17.5,64.2,,0.3,348.0,0
26,2007,1,2,2,0,0.0,0.0,0.0,17.2,17.2,76.5,,0.3,352.5,0
27,2007,1,2,3,0,0.0,0.0,0.0,16.4,16.4,79.3,,0.2,349.5,0
28,2007,1,2,4,0,0.0,0.0,0.0,15.6,15.6,81.5,,0.1,330.0,0
29,2007,1,2,5,0,0.0,0.0,0.0,14.7,14.7,81.5,,0.1,331.5,0
30,2007,1,2,6,0,17.0,1.2942752512266484,16.79410145942553,14.2,14.2,85.3,,0.1,297.0,0
31,2007,1,2,7,0,242.8,267.72418195780114,146.62783568831097,15.1,15.1,83.9,,0.3,277.5,0
32,2007,1,2,8,0,466.2,567.4530734753428,154.37793496276893,17.2,17.2,82.5,,0.4,262.5,0
33,2007,1,2,9,0,678.9,727.8268400710957,157.05338699987863,20.2,20.2,68.3,,0.8,273.0,0
34,2007,1,2,10,0,861.3,819.1034667418462,164.85371992524335,22.9,22.9,58.8,,1.2,265.5,0
35,2007,1,2,11,0,998.7,877.431691154565,173.72480152143447,25.5,25.5,59.7,,1.7,253.5,0
36,2007,1,2,12,0,1077.9,920.5633222207065,175.06167346082066,27.5,27.5,44.9,,2.1,243.0,0
37,2007,1,2,13,0,1095.3,983.9142856964618,141.81073034093583,28.7,28.7,41.6,,2.6,235.5,0
38,2007,1,2,14,0,1049.4,1052.441998067681,95.88618135120399,29.7,29.7,39.2,,2.9,232.5,0
39,2007,1,2,15,0,943.8,1112.2994336924712,58.62418493079188,29.1,29.1,37.9,,3.1,229.5,0
40,2007,1,2,16,0,786.6,1168.5613456339015,31.715456725317303,28.3,28.3,35.0,,3.0,228.0,0
41,2007,1,2,17,0,589.7,1233.9370559178883,13.744163961956403,27.3,27.3,34.2,,2.9,228.0,0
42,2007,1,2,18,0,366.0,1330.07223965179,3.7953559779831285,25.7,25.7,35.7,,2.6,226.5,0
43,2007,1,2,19,0,144.0,1330.116332738959,0.9800894130453642,23.6,23.6,38.5,,1.6,226.5,0
44,2007,1,2,20,0,0.0,0.0,0.0,21.1,21.1,42.4,,0.8,223.5,0
45,2007,1,2,21,0,0.0,0.0,0.0,19.3,19.3,52.7,,0.2,228.0,0
46,2007,1,2,22,0,0.0,0.0,0.0,18.0,18.0,58.8,,0.2,235.5,0
47,2007,1,2,23,0,0.0,0.0,0.0,17.1,17.1,63.3,,0.5,307.5,0
48,2007,1,3,0,0,0.0,0.0,0.0,16.2,16.2,62.3,,0.5,355.5,0
49,2007,1,3,1,0,0.0,0.0,0.0,15.6,15.6,69.8,,0.5,0.0,0
50,2007,1,3,2,0,0.0,0.0,0.0,14.9,14.9,75.5,,0.5,4.5,0
51,2007,1,3,3,0,0.0,0.0,0.0,14.5,14.5,79.2,,0.5,358.5,0
52,2007,1,3,4,0,0.0,0.0,0.0,13.9,13.9,81.1,,0.4,358.5,0
53,2007,1,3,5,0,0.0,0.0,0.0,13.3,13.3,83.6,,0.3,12.0,0
54,2007,1,3,6,0,16.5,1.3661558433745036,16.286004596917575,14.2,14.2,89.5,,0.2,315.0,0
55,2007,1,3,7,0,245.2,299.2322103460313,138.39145764476876,15.3,15.3,87.6,,0.1,288.0,0
56,2007,1,3,8,0,471.1,607.3104832279357,138.60111797163128,18.3,18.3,86.3,,0.3,280.5,0
